time,sea_level,flag1,flag2
UTC,m,,
2020-01-10T00:00:00Z,4.983166666666666,0,1
2020-01-10T01:00:00Z,4.524666666666667,0,1
2020-01-10T02:00:00Z,4.197166666666666,0,1
2020-01-10T03:00:00Z,3.9863333333333335,0,1
2020-01-10T04:00:00Z,4.129666666666667,0,1
2020-01-10T05:00:00Z,4.857666666666666,0,1
2020-01-10T06:00:00Z,5.489499999999999,0,1
2020-01-10T07:00:00Z,5.947000000000001,0,1
2020-01-10T08:00:00Z,6.328666666666666,0,1
2020-01-10T09:00:00Z,6.5409999999999995,0,1
2020-01-10T10:00:00Z,6.444000000000001,0,1
2020-01-10T11:00:00Z,5.966166666666667,0,1
2020-01-10T12:00:00Z,5.4209999999999985,0,1
2020-01-10T13:00:00Z,4.950166666666667,0,1
2020-01-10T14:00:00Z,4.522666666666667,0,1
2020-01-10T15:00:00Z,4.2156666666666665,0,1
2020-01-10T16:00:00Z,4.123333333333333,0,1
2020-01-10T17:00:00Z,4.565333333333333,0,1
2020-01-10T18:00:00Z,5.218166666666666,0,1
2020-01-10T19:00:00Z,5.6819999999999995,0,1
2020-01-10T20:00:00Z,6.1065,0,1
2020-01-10T21:00:00Z,6.3665,0,1
2020-01-10T22:00:00Z,6.392500000000001,0,1
2020-01-10T23:00:00Z,6.006666666666666,0,1
2020-01-11T00:00:00Z,5.366,0,1
2020-01-11T01:00:00Z,4.801666666666667,0,1
2020-01-11T02:00:00Z,4.262,0,1
2020-01-11T03:00:00Z,3.9073333333333333,0,1
2020-01-11T04:00:00Z,3.6954999999999996,0,1
2020-01-11T05:00:00Z,3.7251666666666674,0,1
2020-01-11T06:00:00Z,4.466166666666666,0,1
2020-01-11T07:00:00Z,5.0355,0,1
2020-01-11T08:00:00Z,5.4433333333333325,0,1
2020-01-11T09:00:00Z,5.783833333333334,0,1
2020-01-11T10:00:00Z,5.989833333333333,0,1
2020-01-11T11:00:00Z,5.896333333333334,0,1
2020-01-11T12:00:00Z,5.400499999999999,0,1
2020-01-11T13:00:00Z,4.855333333333333,0,1
2020-01-11T14:00:00Z,4.390166666666667,0,1
2020-01-11T15:00:00Z,4.051333333333334,0,1
2020-01-11T16:00:00Z,3.7870000000000004,0,1
2020-01-11T17:00:00Z,3.8364999999999996,0,1
2020-01-11T18:00:00Z,4.562,0,1
2020-01-11T19:00:00Z,5.233999999999999,0,1
2020-01-11T20:00:00Z,5.7225,0,1
2020-01-11T21:00:00Z,6.160833333333333,0,1
2020-01-11T22:00:00Z,6.503166666666668,0,1
2020-01-11T23:00:00Z,6.5295,0,1
